,Year,Country,Latitude,Longitude,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Damage_Rating
96,2004,Austria,47.048333,9.932223,1,0,0,0,3
97,2004,Bahamas,132.582778,-388.416389,3,1,4,14,9
98,2004,Belize,16.1175,-88.76861099999999,0,0,0,1,2
99,2004,Bolivia,-14.818889000000002,-64.918056,1,0,0,0,3
100,2004,Canada,200.034999,-456.674444,5,0,0,133,9
101,2004,Chile,-70.83333400000001,-144.0,1,1,0,1,5
102,2004,China,31.445,104.72805600000001,2,0,0,0,3
103,2004,Colombia,15.855556,-220.94583300000002,8,18,12,0,9
104,2004,Dominican Republic,37.271945,-136.167778,4,0,0,2,5
105,2004,Ecuador,-1.02,-77.166389,0,0,4,0,2
106,2004,El Salvador,13.833332999999998,-88.916667,5,0,0,0,3
107,2004,Estonia,26.733333000000002,-58.3,1,0,0,0,3
108,2004,Finland,67.616667,-24.166667,0,0,0,0,3
109,2004,France,142.316389,11.061111,6,0,0,141,8
110,2004,Germany,52.459167,-7.185833000000001,3,0,0,0,3
111,2004,Greenland,60.783333,-46.3525,1,0,0,0,3
112,2004,Indonesia,-7.5,110.75,25,59,84,0,2
113,2004,Israel,32.3,34.966667,2,0,0,0,3
114,2004,Italy,45.416667,9.098889,1,1,0,0,2
115,2004,Japan,32.933333000000005,129.933333,0,0,0,1,2
116,2004,Mexico,20.5775,-103.11361099999999,1,4,0,0,2
117,2004,Netherlands Antilles,12.130834,-68.268334,0,0,0,2,2
118,2004,New Zealand,-38.65,175.25,0,1,0,0,3
119,2004,Panama,9.07,-79.383611,7,0,0,0,3
120,2004,Paraguay,-40.766667,-119.683333,5,0,3,0,6
121,2004,Spain,77.785001,-9.6575,3,0,0,2,5
122,2004,St Kitts And Nevis,17.208333,-62.6,0,0,0,4,2
123,2004,Sweden,120.935001,26.892777,7,3,0,0,5
124,2004,Tanzania,-3.8816669999999998,36.426667,0,0,0,10,2
125,2004,United Kingdom,265.52333400000003,-12.946111,8,3,0,2,11
126,2004,United States,67593.13278199984,-174144.48364400017,605,302,432,5687,3649
127,2004,Unknown,52.166667,-9.950000000000003,0,1,0,148,5
128,2004,Venezuela,36.591389,-264.741944,16,21,0,0,12
129,2004,Zambia,-17.485833,26.234166,6,0,0,0,3
130,2005,Argentina,-111.63333399999999,-204.833334,18,3,0,0,9
131,2005,Australia,-355.03110999999996,1335.077223,18,0,0,8,30
132,2005,Austria,46.65,14.333332999999998,0,0,0,7,2
133,2005,Bahamas,46.9,-150.616667,1,0,0,1,4
134,2005,Canada,500.880001,-1026.550556,16,0,0,7,28
135,2005,China,22.35,114.35,0,3,0,1,2
136,2005,Colombia,18.803333000000002,-301.645556,16,6,0,0,11
137,2005,Costa Rica,39.084445,-339.437223,14,4,5,0,12
138,2005,Finland,60.317223,24.963333,0,0,1,0,3
139,2005,France,188.02861000000001,6.404999,6,0,0,2,9
140,2005,Germany,104.56388900000002,24.442500000000003,3,3,0,0,4
141,2005,Guadeloupe,17.85,-62.85,0,0,0,2,3
142,2005,Guatemala,15.4,-91.966667,2,0,0,0,3
143,2005,Guyana,10.0,-114.0,0,0,0,2,2
144,2005,Honduras,15.775834,-87.47555600000001,0,0,4,0,2
145,2005,Hungary,46.05,19.0,2,0,0,0,3
146,2005,Indonesia,-11.193334,225.871667,0,0,0,153,3
147,2005,Ireland,105.80194399999999,-17.516389,2,1,0,7,4
148,2005,Italy,44.066666999999995,8.35,0,0,0,2,3
149,2005,Japan,37.847221999999995,138.550556,0,1,1,4,3
150,2005,"Korea, Republic Of",37.6625,129.2775,0,0,1,0,3
151,2005,Mexico,49.045278999999994,-113.613055,3,0,0,0,5
152,2005,New Zealand,-39.309444,174.300278,2,0,0,0,3
153,2005,Nigeria,6.808889,3.3058330000000002,117,0,0,0,3
154,2005,Peru,-8.416667,-74.595833,45,55,0,0,3
155,2005,Russia,55.1575,38.244721999999996,8,0,0,0,3
156,2005,South Africa,-61.092778,5.5049990000000015,9,0,0,0,6
